Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,small car,24,34,28
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,26,27,27
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,20,27,23
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,19,26,22
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,19,25,21
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,small car,21,22,21
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,22,28,24
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,21,27,23
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,22,27,24
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,21,26,23
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,midsize car,28,29,28
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,midsize car,20,29,23
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,23,33,27
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,20,31,24
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,20,29,23
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,20,29,23
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,small car,23,32,26
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,20,30,23
ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,24,34,28
ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,midsize car,24,33,27
ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,midsize car,23,31,26
ALFA ROMEO Stelvio,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,22,29,25
ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,22,28,24
ASTON MARTIN DB11,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,18,24,20
ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,small car,14,22,17
ASTON MARTIN Vantage,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,18,24,20
ASTON MARTIN Vantage Manual,4.0,8.0,Man-7,2WD,Gasoline,small car,14,21,20
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,27,36,30
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,small car,22,30,25
AUDI A3 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,22,30,25
AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,small car,27,35,30
AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,24,32,27
AUDI A4 allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,station wagon,23,31,26
AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,24,32,27
AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,23,31,26
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,24,32,27
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,24,32,27
AUDI A6 Allroad,3.0,6.0,AMS-7,4WD,Gasoline,station wagon,20,26,22
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,midsize car,22,29,24
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,17,26,21
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,large car,21,27,23
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,19,27,22
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,small SUV,25,29,27
AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,22,28,24
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,19,23,21
AUDI Q8,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,21,18
AUDI R8,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,20,16
AUDI R8 Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,20,16
AUDI RS Q8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,19,15
AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,small car,19,28,23
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,small car,22,29,25
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,20,27,23
AUDI S5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,20,27,23
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,19,26,22
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,20,27,23
AUDI S6,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,18,28,22
AUDI S7,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,18,28,22
AUDI S8,4.0,8.0,SemiAuto-8,4WD,Gasoline,large car,13,22,16
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,18,23,20
AUDI SQ7,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,21,17
AUDI SQ8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,21,17
AUDI TT Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,23,31,26
AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,small car,19,29,23
AUDI TT Roadster,2.0,4.0,AMS-7,4WD,Gasoline,small car,23,31,26
AUDI TTS Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,23,29,25
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,standard SUV,76,78,77
BENTLEY Bentayga,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,17,21,19
BENTLEY Bentayga,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,14,23,17
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,small car,9,14,11
BENTLEY Continental GT,4.0,8.0,AMS-8,4WD,Gasoline,small car,16,26,19
BENTLEY Continental GT Convertible,4.0,8.0,AMS-8,4WD,Gasoline,small car,16,26,19
BENTLEY Flying Spur,6.0,12.0,AMS-8,4WD,Gasoline,midsize car,12,19,15
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,midsize car,10,16,12
BMW 228i ,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,23,33,27
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,21,32,25
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,24,32,27
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,26,36,30
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,25,34,28
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,22,32,26
BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,21,33,25
BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
